データ日付,終値,始値,高値,安値
"2023/01/16","25822.32","25836.67","25938.04","25748.10"
"2023/01/17","26138.68","25915.51","26198.69","25895.30"
"2023/01/18","26791.12","26251.34","26816.68","26211.84"
"2023/01/19","26405.23","26541.08","26592.87","26368.97"
"2023/01/20","26553.53","26346.69","26553.53","26320.96"
"2023/01/23","26906.04","26880.21","26938.28","26788.76"
"2023/01/24","27299.19","27150.43","27381.00","27150.43"
"2023/01/25","27395.01","27175.88","27473.90","27175.88"
"2023/01/26","27362.75","27444.64","27502.15","27284.08"
"2023/01/27","27382.56","27428.41","27452.67","27326.91"
"2023/01/30","27433.40","27384.77","27486.42","27337.25"
"2023/01/31","27327.11","27458.56","27494.17","27302.22"
"2023/02/01","27346.88","27483.41","27547.67","27322.79"
"2023/02/02","27402.05","27453.67","27472.44","27338.43"
"2023/02/03","27509.46","27455.03","27612.57","27445.69"
"2023/02/06","27693.65","27764.66","27821.22","27656.47"
"2023/02/07","27685.47","27744.90","27814.96","27662.11"
"2023/02/08","27606.46","27690.74","27719.45","27458.53"
"2023/02/09","27584.35","27453.40","27635.38","27424.69"
"2023/02/10","27670.98","27711.25","27814.02","27609.33"
"2023/02/13","27427.32","27550.35","27570.32","27266.94"
"2023/02/14","27602.77","27705.37","27721.82","27553.18"
"2023/02/15","27501.86","27686.01","27720.27","27444.13"
"2023/02/16","27696.44","27654.72","27727.66","27597.12"
"2023/02/17","27513.13","27484.60","27608.59","27466.61"
"2023/02/20","27531.94","27497.13","27531.94","27426.48"
"2023/02/21","27473.10","27486.09","27538.29","27359.12"
"2023/02/22","27104.32","27265.99","27300.53","27046.08"
"2023/02/24","27453.48","27144.72","27465.90","27128.32"
"2023/02/27","27423.96","27322.73","27456.22","27292.74"
"2023/02/28","27445.56","27515.34","27585.17","27400.36"
"2023/03/01","27516.53","27363.57","27530.76","27305.37"
"2023/03/02","27498.87","27564.82","27617.80","27408.54"
"2023/03/03","27927.47","27683.26","27961.21","27655.34"
"2023/03/06","28237.78","28182.31","28288.62","28153.82"
"2023/03/07","28309.16","28202.59","28398.27","28202.59"
"2023/03/08","28444.19","28237.21","28469.41","28232.68"
"2023/03/09","28623.15","28648.11","28734.79","28558.88"
"2023/03/10","28143.97","28385.29","28424.24","28118.74"
"2023/03/13","27832.96","27886.21","27906.97","27631.53"
"2023/03/14","27222.04","27455.95","27455.95","27104.75"
"2023/03/15","27229.48","27421.66","27424.94","27105.99"
"2023/03/16","27010.61","26796.67","27057.54","26632.92"
"2023/03/17","27333.79","27232.23","27356.15","27071.71"
"2023/03/20","26945.67","27253.73","27367.18","26945.67"
"2023/03/22","27466.61","27298.15","27520.97","27267.26"
"2023/03/23","27419.61","27232.97","27461.97","27175.63"
"2023/03/24","27385.25","27368.62","27397.29","27257.44"
"2023/03/27","27476.87","27482.39","27543.48","27359.72"
"2023/03/28","27518.25","27573.82","27603.45","27432.76"
"2023/03/29","27883.78","27549.37","27897.72","27505.48"
"2023/03/30","27782.93","27827.89","27876.38","27630.55"
"2023/03/31","28041.48","28009.22","28124.62","27986.62"
"2023/04/03","28188.15","28203.35","28258.91","28120.71"
"2023/04/04","28287.42","28213.93","28287.42","28139.12"
"2023/04/05","27813.26","28111.04","28133.57","27788.77"
"2023/04/06","27472.63","27589.14","27609.86","27427.66"
"2023/04/07","27518.31","27554.37","27591.15","27456.25"
"2023/04/10","27633.66","27658.52","27737.49","27597.18"
"2023/04/11","27923.37","27895.90","28068.39","27854.82"
